lat,lng,neighborhood,boroughCode,X.id,day
40.6208,-74.0818,Clifton,5,http://nyc.pediacities.com/Resource/Neighborhood/Clifton,13
40.6229,-74.0911,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,13
40.6229,-74.0911,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,7
40.6244,-74.0806,Stapleton,5,http://nyc.pediacities.com/Resource/Neighborhood/Stapleton,14
40.6177,-74.1537,Graniteville,5,http://nyc.pediacities.com/Resource/Neighborhood/Graniteville,15
40.6217,-74.0977,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,15
40.6278,-74.0906,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,18
40.6158,-74.1731,Bull's Head,5,http://nyc.pediacities.com/Resource/Neighborhood/Bull_s_Head,21
40.6378,-74.0764,St. George,5,http://nyc.pediacities.com/Resource/Neighborhood/St_George,21
40.6098,-74.0742,Shore Acres,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,22
40.609,-74.063,Shore Acres,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,23
40.6042,-74.1404,Emerson Hill,5,http://nyc.pediacities.com/Resource/Neighborhood/Emerson_Hill,23
40.6223,-74.0802,Clifton,5,http://nyc.pediacities.com/Resource/Neighborhood/Clifton,23
40.6061,-74.0733,Shore Acres,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,24
40.6308,-74.0748,Stapleton,5,http://nyc.pediacities.com/Resource/Neighborhood/Stapleton,25
40.5475,-74.1818,Woodrow,5,http://nyc.pediacities.com/Resource/Neighborhood/Woodrow,31
40.6359,-74.0809,Tompkinsville,5,http://nyc.pediacities.com/Resource/Neighborhood/Tompkinsville,31
40.6223,-74.0926,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,31
40.6165,-74.0908,Grymes Hill,5,http://nyc.pediacities.com/Resource/Neighborhood/Grymes_Hill,31
40.6161,-74.0932,Grymes Hill,5,http://nyc.pediacities.com/Resource/Neighborhood/Grymes_Hill,1
40.5864,-74.1981,"Chelsea, Staten Island",5,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea_Staten_Island,1
40.598,-74.0691,Arrochar,5,http://nyc.pediacities.com/Resource/Neighborhood/Arrochar,8
40.6175,-74.1195,Castleton Corners,5,http://nyc.pediacities.com/Resource/Neighborhood/Castleton_Corners,9
40.626,-74.0776,Stapleton,5,http://nyc.pediacities.com/Resource/Neighborhood/Stapleton,9
40.6222,-74.0976,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,10
40.625,-74.0785,Stapleton,5,http://nyc.pediacities.com/Resource/Neighborhood/Stapleton,10
40.5732,-74.12,New Dorp,5,http://nyc.pediacities.com/Resource/Neighborhood/New_Dorp,13
40.575,-74.1219,Richmondtown,5,http://nyc.pediacities.com/Resource/Neighborhood/Richmondtown,16
40.645,-74.0794,St. George,5,http://nyc.pediacities.com/Resource/Neighborhood/St_George,16
40.6199,-74.0898,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,17
40.6198,-74.0899,Silver Lake,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,17
40.6016,-74.0914,Concord,5,http://nyc.pediacities.com/Resource/Neighborhood/Concord,18
40.6301,-74.1074,West Brighton,5,http://nyc.pediacities.com/Resource/Neighborhood/West_Brighton,19
40.6086,-74.0635,Shore Acres,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,19
40.5863,-74.0921,Dongan Hills,5,http://nyc.pediacities.com/Resource/Neighborhood/Dongan_Hills,19
40.6039,-74.1186,Emerson Hill,5,http://nyc.pediacities.com/Resource/Neighborhood/Emerson_Hill,20
40.6093,-74.0627,Shore Acres,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,20
40.6319,-74.1633,Mariners Harbor,5,http://nyc.pediacities.com/Resource/Neighborhood/Mariners_Harbor,22
40.5923,-74.0794,Arrochar,5,http://nyc.pediacities.com/Resource/Neighborhood/Arrochar,27
40.6222,-74.0801,Clifton,5,http://nyc.pediacities.com/Resource/Neighborhood/Clifton,28
40.645,-74.0805,St. George,5,http://nyc.pediacities.com/Resource/Neighborhood/St_George,30
